,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
333,"Columbus, OH",American Chemical Society,"At CAS, a division of the American Chemical Society, we are scientists, technologists and business leaders who continuously and passionately pursue new...",714f89597cce66cc,Network Manager,,51.0,29,16 days,2016-10-18 00:17:14.294112,Columbus
334,"Columbus, OH 43204 (Greater Hilltop area)",Pinnacle Solutions Inc,"Pinnacle Solutions is a trusted SAS Alliance Partner, Futrix Business Partner, and creator of The Backpack Solution, an all-in-one, unprecedented, and must-have...",889c356919386505,Risk Analysts in CCAR & Predictive Modeling (Intermediate to...,,,,1 day,2016-10-18 00:17:14.294112,Columbus
335,"Columbus, OH",American Chemical Society,"At Chemical Abstracts Service (CAS), a division of the American Chemical Society, we are scientists, technologists and business leaders who continuously and...",84bf2fd90a8930bf,Innovation Manager II,,51.0,29,30+ days,2016-10-18 00:17:14.294112,Columbus
336,"Columbus, OH",WSP | Parsons Brinckerhoff,"Approximately 34,500 employees, including engineers, technicians, scientists, architects, planners, surveyors, program and construction management professionals...",ba4bd052050c7eec,Associate Consultant III,,51.0,5,30+ days,2016-10-18 00:17:14.294112,Columbus
337,"Columbus, OH",American Chemical Society,"At Chemical Abstracts Service (CAS), a division of the American Chemical Society, we are scientists, technologists and business leaders who continuously and...",a5a7dd68642ac070,"Manager, Technology PMO",,51.0,29,30+ days,2016-10-18 00:17:14.294112,Columbus
338,"Columbus, OH 43201 (Weinland Park area)",Battelle,"Material Scientists, and any other disciplines needed for each project. Our 22,000 employees work at the forefront of scientific innovation to tackle critical...",1de8f7ac971590a6,Medical Devices Electrical Engineering Hardware Co-Op (Sprin...,,51.0,162,30+ days,2016-10-18 00:17:14.294112,Columbus
339,"Columbus, OH 43231 (Northland area)",HDR,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists....",7c8a1bcf19738836,Receptionist/Administrative Assistant,,51.0,122,30+ days,2016-10-18 00:17:14.294112,Columbus
340,"West Jefferson, OH 43162",Battelle,"Our 22,000 employees work at the forefront of scientific innovation to tackle critical challenges in security, human health, manufacturing, energy and...",9eb607c8f7a0cd19,Laboratory Animal Technician,,51.0,162,30+ days,2016-10-18 00:17:14.294112,Columbus
341,"West Jefferson, OH 43162",Battelle,"Our 22,000 employees work at the forefront of scientific innovation to tackle critical challenges in security, human health, manufacturing, energy and...",51ec5f1500ef0ef7,DART Laboratory Animal Technician,,51.0,162,30+ days,2016-10-18 00:17:14.294112,Columbus
342,"West Jefferson, OH 43162",Battelle,"Our 22,000 employees work at the forefront of scientific innovation to tackle critical challenges in security, human health, manufacturing, energy and...",40da3d2ccf3cc2e5,Laboratory Animal Technician Trainee,,51.0,162,30+ days,2016-10-18 00:17:14.294112,Columbus
