,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
105,"Charlotte, NC 28210 (Quail Hollow area)",Experis,And close interaction with a multidisciplinary staff of engineers and scientists. This position requires a qualified professional engineer to manage the design...,f938abd17828a905,Civil Engineer (PE),,43.8,296,7 days,2016-10-18 00:13:13.013673,Charlotte
106,"Charlotte, NC 28203 (Dilworth area)",Carolinas HealthCare System,"Interacts with a team of physicians, scientists, research technicians, and students. Produces abstracts and manuscripts for presentation at scientific meetings...",68eeadc2b592385e,Postdoctoral Research Fellow,,51.0,292,30+ days,2016-10-18 00:13:13.013673,Charlotte
107,"Rock Hill, SC 29730",3D Systems,"Mechanical and Electrical Engineers, and Laser Scientists, while creating,. Data requires evaluation of identifiable factors....",57f5ce2cd260fde5,"Sr. Process Engineer (SLA) - Rock Hill, SC",,43.8,24,30+ days,2016-10-18 00:13:13.013673,Charlotte
108,"Charlotte, NC 28273 (Olde Whitehall area)",Sealed Air,Plan and conduct experiments for the development of new products and processes in collaboration with experienced scientists and/or engineers Participate in a...,2fe92905c0de9b00,Microbiology or Biochemist Technical Leadership Program - Ro...,,43.8,176,30+ days,2016-10-18 00:13:13.013673,Charlotte
109,"Charlotte, NC",VANTAGE Recruiting Group,B) Send an email with your Resume & Salary Requirements to:. You must include the Job Title & Job Location in the email Subject Line....,6e13216468340816,Excellent opportunity for a Quantitative Analyst. Start Imme...,,,,30+ days,2016-10-18 00:13:13.013673,Charlotte
110,"Monroe, NC 28110",ATI,"Demonstrated ability in statistical analysis and/or data analytics and experience using statistical analysis software such as R, JMP, Minitab....",07bea150e2dd216f,Process Scientist - Modeling,,43.2,69,30+ days,2016-10-18 00:13:13.013673,Charlotte
111,"Charlotte, NC",Bank of America,"PhD in finance, economics, mathematics, physics or engineering 5-7 years of relevant work experience OR MS Degree with 8-10 years of relevant work experience....",5e1c0ea06f497e45,Senior Quantitative Finance Analyst - Wholesale Model Valida...,,44.4,14240,9 days,2016-10-18 00:13:13.013673,Charlotte
112,"Charlotte, NC",Bank of America,The qualified candidate will also function as a subject matter expert to provide technical consultation to peers and junior members in the team....,23b382c13e8b8858,Senior Quantitative Finance Analyst - Bankcard Model Validat...,,44.4,14240,12 days,2016-10-18 00:13:13.013673,Charlotte
113,"Charlotte, NC","ReqRoute,Inc","The Data Scientist will be responsible for designing and implementing processes and layouts for complex, large-scale data sets used for modeling, data mining,...",fe4833e8f21a90e2,"9063-Big Data Developer @ Phoenix, AZ and NC for Full time H...",,,,23 days,2016-10-18 00:13:13.013673,Charlotte
114,"Charlotte, NC 28202 (Downtown Charlotte area)",HDR,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists....",e475b16de9e24ddd,Environmental Scientist,,51.0,122,30+ days,2016-10-18 00:13:13.013673,Charlotte
115,"Charlotte, NC 28210 (Quail Hollow area)",Experis,And close interaction with a multidisciplinary staff of engineers and scientists. This position requires a qualified professional engineer to manage the design...,f938abd17828a905,Civil Engineer (PE),,43.8,296,7 days,2016-10-18 00:13:13.013673,Charlotte
116,"Charlotte, NC 28203 (Dilworth area)",Carolinas HealthCare System,"Interacts with a team of physicians, scientists, research technicians, and students. Produces abstracts and manuscripts for presentation at scientific meetings...",68eeadc2b592385e,Postdoctoral Research Fellow,,51.0,292,30+ days,2016-10-18 00:13:13.013673,Charlotte
117,"Rock Hill, SC 29730",3D Systems,"Mechanical and Electrical Engineers, and Laser Scientists, while creating,. Data requires evaluation of identifiable factors....",57f5ce2cd260fde5,"Sr. Process Engineer (SLA) - Rock Hill, SC",,43.8,24,30+ days,2016-10-18 00:13:13.013673,Charlotte
118,"Charlotte, NC 28273 (Olde Whitehall area)",Sealed Air,Plan and conduct experiments for the development of new products and processes in collaboration with experienced scientists and/or engineers Participate in a...,2fe92905c0de9b00,Microbiology or Biochemist Technical Leadership Program - Ro...,,43.8,176,30+ days,2016-10-18 00:13:13.013673,Charlotte
119,"Charlotte, NC",VANTAGE Recruiting Group,B) Send an email with your Resume & Salary Requirements to:. You must include the Job Title & Job Location in the email Subject Line....,6e13216468340816,Excellent opportunity for a Quantitative Analyst. Start Imme...,,,,30+ days,2016-10-18 00:13:13.013673,Charlotte
120,"Monroe, NC 28110",ATI,"Demonstrated ability in statistical analysis and/or data analytics and experience using statistical analysis software such as R, JMP, Minitab....",07bea150e2dd216f,Process Scientist - Modeling,,43.2,69,30+ days,2016-10-18 00:13:13.013673,Charlotte
121,"Charlotte, NC",Bank of America,"PhD in finance, economics, mathematics, physics or engineering 5-7 years of relevant work experience OR MS Degree with 8-10 years of relevant work experience....",5e1c0ea06f497e45,Senior Quantitative Finance Analyst - Wholesale Model Valida...,,44.4,14240,9 days,2016-10-18 00:13:13.013673,Charlotte
122,"Charlotte, NC",Bank of America,The qualified candidate will also function as a subject matter expert to provide technical consultation to peers and junior members in the team....,23b382c13e8b8858,Senior Quantitative Finance Analyst - Bankcard Model Validat...,,44.4,14240,12 days,2016-10-18 00:13:13.013673,Charlotte
123,"Charlotte, NC","ReqRoute,Inc","The Data Scientist will be responsible for designing and implementing processes and layouts for complex, large-scale data sets used for modeling, data mining,...",fe4833e8f21a90e2,"9063-Big Data Developer @ Phoenix, AZ and NC for Full time H...",,,,23 days,2016-10-18 00:13:13.013673,Charlotte
124,"Charlotte, NC 28202 (Downtown Charlotte area)",HDR,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists....",e475b16de9e24ddd,Environmental Scientist,,51.0,122,30+ days,2016-10-18 00:13:13.013673,Charlotte
125,"Charlotte, NC 28210 (Quail Hollow area)",Experis,And close interaction with a multidisciplinary staff of engineers and scientists. This position requires a qualified professional engineer to manage the design...,f938abd17828a905,Civil Engineer (PE),,43.8,296,7 days,2016-10-18 00:13:13.013673,Charlotte
126,"Charlotte, NC 28203 (Dilworth area)",Carolinas HealthCare System,"Interacts with a team of physicians, scientists, research technicians, and students. Produces abstracts and manuscripts for presentation at scientific meetings...",68eeadc2b592385e,Postdoctoral Research Fellow,,51.0,292,30+ days,2016-10-18 00:13:13.013673,Charlotte
127,"Rock Hill, SC 29730",3D Systems,"Mechanical and Electrical Engineers, and Laser Scientists, while creating,. Data requires evaluation of identifiable factors....",57f5ce2cd260fde5,"Sr. Process Engineer (SLA) - Rock Hill, SC",,43.8,24,30+ days,2016-10-18 00:13:13.013673,Charlotte
128,"Charlotte, NC 28273 (Olde Whitehall area)",Sealed Air,Plan and conduct experiments for the development of new products and processes in collaboration with experienced scientists and/or engineers Participate in a...,2fe92905c0de9b00,Microbiology or Biochemist Technical Leadership Program - Ro...,,43.8,176,30+ days,2016-10-18 00:13:13.013673,Charlotte
129,"Charlotte, NC",VANTAGE Recruiting Group,B) Send an email with your Resume & Salary Requirements to:. You must include the Job Title & Job Location in the email Subject Line....,6e13216468340816,Excellent opportunity for a Quantitative Analyst. Start Imme...,,,,30+ days,2016-10-18 00:13:13.013673,Charlotte
130,"Monroe, NC 28110",ATI,"Demonstrated ability in statistical analysis and/or data analytics and experience using statistical analysis software such as R, JMP, Minitab....",07bea150e2dd216f,Process Scientist - Modeling,,43.2,69,30+ days,2016-10-18 00:13:13.013673,Charlotte
131,"Charlotte, NC",Bank of America,"PhD in finance, economics, mathematics, physics or engineering 5-7 years of relevant work experience OR MS Degree with 8-10 years of relevant work experience....",5e1c0ea06f497e45,Senior Quantitative Finance Analyst - Wholesale Model Valida...,,44.4,14240,9 days,2016-10-18 00:13:13.013673,Charlotte
132,"Charlotte, NC",Bank of America,The qualified candidate will also function as a subject matter expert to provide technical consultation to peers and junior members in the team....,23b382c13e8b8858,Senior Quantitative Finance Analyst - Bankcard Model Validat...,,44.4,14240,12 days,2016-10-18 00:13:13.013673,Charlotte
133,"Charlotte, NC","ReqRoute,Inc","The Data Scientist will be responsible for designing and implementing processes and layouts for complex, large-scale data sets used for modeling, data mining,...",fe4833e8f21a90e2,"9063-Big Data Developer @ Phoenix, AZ and NC for Full time H...",,,,23 days,2016-10-18 00:13:13.013673,Charlotte
134,"Charlotte, NC 28202 (Downtown Charlotte area)",HDR,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists....",e475b16de9e24ddd,Environmental Scientist,,51.0,122,30+ days,2016-10-18 00:13:13.013673,Charlotte
135,"Charlotte, NC 28210 (Quail Hollow area)",Experis,And close interaction with a multidisciplinary staff of engineers and scientists. This position requires a qualified professional engineer to manage the design...,f938abd17828a905,Civil Engineer (PE),,43.8,296,7 days,2016-10-18 00:13:13.013673,Charlotte
136,"Charlotte, NC 28203 (Dilworth area)",Carolinas HealthCare System,"Interacts with a team of physicians, scientists, research technicians, and students. Produces abstracts and manuscripts for presentation at scientific meetings...",68eeadc2b592385e,Postdoctoral Research Fellow,,51.0,292,30+ days,2016-10-18 00:13:13.013673,Charlotte
137,"Rock Hill, SC 29730",3D Systems,"Mechanical and Electrical Engineers, and Laser Scientists, while creating,. Data requires evaluation of identifiable factors....",57f5ce2cd260fde5,"Sr. Process Engineer (SLA) - Rock Hill, SC",,43.8,24,30+ days,2016-10-18 00:13:13.013673,Charlotte
138,"Charlotte, NC 28273 (Olde Whitehall area)",Sealed Air,Plan and conduct experiments for the development of new products and processes in collaboration with experienced scientists and/or engineers Participate in a...,2fe92905c0de9b00,Microbiology or Biochemist Technical Leadership Program - Ro...,,43.8,176,30+ days,2016-10-18 00:13:13.013673,Charlotte
139,"Charlotte, NC",VANTAGE Recruiting Group,B) Send an email with your Resume & Salary Requirements to:. You must include the Job Title & Job Location in the email Subject Line....,6e13216468340816,Excellent opportunity for a Quantitative Analyst. Start Imme...,,,,30+ days,2016-10-18 00:13:13.013673,Charlotte
140,"Monroe, NC 28110",ATI,"Demonstrated ability in statistical analysis and/or data analytics and experience using statistical analysis software such as R, JMP, Minitab....",07bea150e2dd216f,Process Scientist - Modeling,,43.2,69,30+ days,2016-10-18 00:13:13.013673,Charlotte
141,"Charlotte, NC",Bank of America,"PhD in finance, economics, mathematics, physics or engineering 5-7 years of relevant work experience OR MS Degree with 8-10 years of relevant work experience....",5e1c0ea06f497e45,Senior Quantitative Finance Analyst - Wholesale Model Valida...,,44.4,14240,9 days,2016-10-18 00:13:13.013673,Charlotte
142,"Charlotte, NC",Bank of America,The qualified candidate will also function as a subject matter expert to provide technical consultation to peers and junior members in the team....,23b382c13e8b8858,Senior Quantitative Finance Analyst - Bankcard Model Validat...,,44.4,14240,12 days,2016-10-18 00:13:13.013673,Charlotte
143,"Charlotte, NC","ReqRoute,Inc","The Data Scientist will be responsible for designing and implementing processes and layouts for complex, large-scale data sets used for modeling, data mining,...",fe4833e8f21a90e2,"9063-Big Data Developer @ Phoenix, AZ and NC for Full time H...",,,,23 days,2016-10-18 00:13:13.013673,Charlotte
144,"Charlotte, NC 28202 (Downtown Charlotte area)",HDR,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists....",e475b16de9e24ddd,Environmental Scientist,,51.0,122,30+ days,2016-10-18 00:13:13.013673,Charlotte
145,"Charlotte, NC 28210 (Quail Hollow area)",Experis,And close interaction with a multidisciplinary staff of engineers and scientists. This position requires a qualified professional engineer to manage the design...,f938abd17828a905,Civil Engineer (PE),,43.8,296,7 days,2016-10-18 00:13:13.013673,Charlotte
